pregunta,respuesta
¿Quién eres?,¡Hola! Soy Thone AI ToRo, un modelo de inteligencia artificial desarrollado por Thone AI. ¿Qué necesitas? Estoy aquí para ayudarte.
¿Cuál es tu función?,Estoy aquí para responder preguntas y proporcionar información actual para ayudarte en tu día a día y facilitártelo. ¿Qué necesitas?
¿Quién ganó el último mundial?,El Mundial de 2022 se celebró en Qatar, donde Argentina se proclamó ganadora. Fue un partido emocionante y lleno de cambios, ya que Argentina estaba ganando 2-0 contra Francia, hasta que el jugador de la selección francesa, Kylian Mbappe, empató el partido en solo 2 minutos. Sin embargo, Argentina no se rindió y, tras un penalti provocado por el extremo derecho de la selección francesa, Ousmane Dembélé, Lionel Messi marcó el 3-2 a favor de Argentina en el minuto 107. Pero Kylian Mbappe marcó de penalti en el minuto 117, logrando un hat-trick y empatando el marcador nuevamente.\n\nLuego llegó la tanda de penaltis, donde la selección Argentina marcó 4-2 contra la selección Francesa, proclamándose campeona del Mundial Qatar 2022 y llevándose su tercer título mundial.
¿Cómo es tu nombre?,Me llamo Thone AI ToRo.
¿Cúal es tu nombre?,Me llamo Thone AI ToRo.
¿Cómo es tu apellido?,No tengo apellido, soy Thone AI ToRo.
¿Cuál es tu apellido?,No tengo apellido, soy Thone AI ToRo.
¿Qué es Thone AI?,Thone AI es un proyecto de inteligencia artificial fundado por 2 personas: Álvaro 842 y DisamDev en enero de 2023 con modelos open-source como ToRo, el cuál se encuentra actualmente en su primera versión llamada 'ToRo-1'. Este proyecto se centra en llevar la AI al siguiente nivel y que esté disponible para todos.
¿Cuál es la capital de Afganistán?,La capital de Afganistán es Kabul.
¿Cuál es la capital de Albania?,La capital de Albania es Tirana.
¿Cuál es la capital de Angola?,La capital de Angola es Luanda.
¿Cuál es la capital de Antigua y Barbuda?,La capital de Antigua y Barbuda es Saint John's.
¿Cuál es la capital de Arabia Saudita?,La capital de Arabia Saudita es Riad.
¿Cuál es la capital de Argelia?,La capital de Argelia es Argel.
¿Cuál es la capital de Armenia?,La capital de Armenia es Ereván.
¿Cuál es la capital de Australia?,La capital de Australia es Canberra.
¿Cuál es la capital de Austria?,La capital de Austria es Viena.
¿Cuál es la capital de Bangladés?,La capital de Bangladés es Daca.
¿Cuál es la capital de Barbados?,La capital de Barbados es Bridgetown.
¿Cuál es la capital de Baréin?,La capital de Baréin es Manama.
¿Cuál es la capital de Bélgica?,La capital de Bélgica es Bruselas.
¿Cuál es la capital de Benín?,La capital de Benín es Porto Novo.
¿Cuál es la capital de Birmania (Myanmar)?,La capital de Birmania (Myanmar) es Naipyidó.
¿Cuál es la capital de Bolivia?,La capital de Bolivia es Sucre.
¿Cuál es la capital de Botsuana?,La capital de Botsuana es Gaborone.
¿Cuál es la capital de Bulgaria?,La capital de Bulgaria es Sofía.
¿Cuál es la capital de Burkina Faso?,La capital de Burkina Faso es Uagadugú.
¿Cuál es la capital de Burundi?,La capital de Burundi es Bujumbura.
¿Cuál es la capital de Bután?,La capital de Bután es Thimphu.
¿Cuál es la capital de Cabo Verde?,La capital de Cabo Verde es Praia.
¿Cuál es la capital de Camerún?,La capital de Camerún es Yaundé.
¿Cuál es la capital de Canadá?,La capital de Canadá es Ottawa.
¿Cuál es la capital de Catar?,La capital de Catar es Doha.
¿Cuál es la capital de Chad?,La capital de Chad es Yamena.
¿Cuál es la capital de Chipre?,La capital de Chipre es Nicosia.
¿Cuál es la capital de Comoras?,La capital de Comoras es Moroni.
¿Cuál es la capital de Corea del Norte?,La capital de Corea del Norte es Pionyang.
¿Cuál es la capital de Corea del Sur?,La capital de Corea del Sur es Seúl.
¿Cuál es la capital de Costa Rica?,La capital de Costa Rica es San José.
¿Cuál es la capital de Croacia?,La capital de Croacia es Zagreb.
¿Cuál es la capital de Cuba?,La capital de Cuba es La Habana.
¿Cuál es la capital de Dominica?,La capital de Dominica es Roseau.
¿Cuál es la capital de Egipto?,La capital de Egipto es El Cairo.
¿Cuál es la capital de El Salvador?,La capital de El Salvador es San Salvador.
¿Cuál es la capital de Emiratos Árabes Unidos?,La capital de Emiratos Árabes Unidos es Abu Dabi.
¿Cuál es la capital de Eritrea?,La capital de Eritrea es Asmara.
¿Cuál es la capital de Eslovaquia?,La capital de Eslovaquia es Bratislava.
¿Cuál es la capital de España?,La capital de España es Madrid.
¿Cuál es la capital de Estonia?,La capital de Estonia es Tallin.
¿Cuál es la capital de Eswatini (Suazilandia)?,La capital de Eswatini (Suazilandia) es Lobamba.
¿Cuál es la capital de Etiopía?,La capital de Etiopía es Adís Abeba.
¿Cuál es la capital de Fiyi?,La capital de Fiyi es Suva.
¿Cuál es la capital de Finlandia?,La capital de Finlandia es Helsinki.
¿Cuál es la capital de Gambia?,La capital de Gambia es Banjul.
¿Cuál es la capital de Georgia?,La capital de Georgia es Tiflis.
¿Cuál es la capital de Ghana?,La capital de Ghana es Acra.
¿Cuál es la capital de Guatemala?,La capital de Guatemala es Ciudad de Guatemala.
¿Cuál es la capital de Guinea?,La capital de Guinea es Conakry.
¿Cuál es la capital de Guinea-Bisáu?,La capital de Guinea-Bisáu es Bissau.
¿Cuál es la capital de Guinea Ecuatorial?,La capital de Guinea Ecuatorial es Malabo.
¿Cuál es la capital de Guyana?,La capital de Guyana es Georgetown.
¿Cuál es la capital de Haití?,La capital de Haití es Puerto Príncipe.
¿Cuál es la capital de Honduras?,La capital de Honduras es Tegucigalpa.
¿Cuál es la capital de Hungría?,La capital de Hungría es Budapest.
¿Cuál es la capital de India?,La capital de India es Nueva Delhi.
¿Cuál es la capital de Indonesia?,La capital de Indonesia es Yakarta.
¿Cuál es la capital de Iraq?,La capital de Iraq es Bagdad.
¿Cuál es la capital de Irán?,La capital de Irán es Teherán.
¿Cuál es la capital de Irlanda?,La capital de Irlanda es Dublín.
¿Cuál es la capital de Islandia?,La capital de Islandia es Reikiavik.
¿Cuál es la capital de Islas Marshall?,La capital de Islas Marshall es Majuro.
¿Cuál es la capital de Islas Salomón?,La capital de Islas Salomón es Honiara.
¿Cuál es la capital de Israel?,La capital de Israel es Jerusalén.
¿Cuál es la capital de Jamaica?,La capital de Jamaica es Kingston.
¿Cuál es la capital de Japón?,La capital de Japón es Tokio.
¿Cuál es la capital de Jordania?,La capital de Jordania es Amán.
¿Cuál es la capital de Kazajistán?,La capital de Kazajistán es Nursultán.
¿Cuál es la capital de Kenia?,La capital de Kenia es Nairobi.
¿Cuál es la capital de Kirguistán?,La capital de Kirguistán es Biskek.
¿Cuál es la capital de Kiribati?,La capital de Kiribati es Tarawa.
¿Cuál es la capital de Kuwait?,La capital de Kuwait es Kuwait.
¿Cuál es la capital de Laos?,La capital de Laos es Vientián.
¿Cuál es la capital de Lesoto?,La capital de Lesoto es Maseru.
¿Cuál es la capital de Letonia?,La capital de Letonia es Riga.
¿Cuál es la capital de Líbano?,La capital de Líbano es Beirut.
¿Cuál es la capital de Liberia?,La capital de Liberia es Monrovia.
¿Cuál es la capital de Libia?,La capital de Libia es Trípoli.
¿Cuál es la capital de Liechtenstein?,La capital de Liechtenstein es Vaduz.
¿Cuál es la capital de Lituania?,La capital de Lituania es Vilna.
¿Cuál es la capital de Luxemburgo?,La capital de Luxemburgo es Luxemburgo.
¿Cuál es la capital de Madagascar?,La capital de Madagascar es Antananarivo.
¿Cuál es la capital de Malasia?,La capital de Malasia es Kuala Lumpur.
¿Cuál es la capital de Malaui?,La capital de Malaui es Lilongüe.
¿Cuál es la capital de Maldivas?,La capital de Maldivas es Malé.
¿Cuál es la capital de Malta?,La capital de Malta es La Valeta.
¿Cuál es la capital de Mongolia?,La capital de Mongolia es Ulán Bator.
¿Cuál es la capital de Mozambique?,La capital de Mozambique es Maputo.
¿Cuál es la capital de Namibia?,La capital de Namibia es Windhoek.
